Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,Unnamed: 8,Unnamed: 9
11,-0.40944889400380746,-0.3657928510993164,-0.9246433565232747,1.6185441554697455,0,-0.34537736937464264,Federal,,
12,-0.40944889400380746,-0.8050069395866127,-0.11895105197458784,1.815286890734198,0,0.46272062507222333,Federal,,
1,-0.2507571628958239,-1.0305103977569328,0.027087308930649985,2.275349699153868,0,1.2030133241419676,Federal,,
2,-0.2507571628958239,-0.7146566778877558,-0.08586181577628377,2.344904780517467,0,0.9214312748532477,Federal,,
3,-0.2507571628958239,-0.30553652758418604,0.3726047488855787,2.290665209113406,0,0.6730189101847026,Federal,,
4,-0.2507571628958239,-0.04181687544953513,-0.06604391729116495,2.1549376660778936,0,1.1214432308026163,Federal,,
5,-0.2507571628958239,0.7541770157875224,-0.9076985609235815,1.1395438674973948,0,-0.19533113310405403,Federal,,
6,-0.2507571628958239,1.072163791622519,-0.8602021270872777,0.6281419470819307,0,0.02997426025605477,Federal,,
7,-0.2507571628958239,0.7650610837079446,-0.44380639485290313,1.3250786831593726,0,2.199346173032612,Federal,,
8,-0.2507571628958239,0.18600888524500034,-0.39854067908348373,3.6308164516994283,0,4.040673631846498,Federal,,
9,-0.2507571628958239,0.3288364958560813,-1.1142654515345618,2.328173934032201,0,0.27428700098278064,Federal,,
10,-0.2507571628958239,0.27258623360468764,-1.101136224395228,1.1641646095295064,0,-0.49679014695917106,Federal,,
11,-0.2507571628958239,-0.396620715235112,-0.6414721128964588,0.8408836372052644,0,-0.7845092090577661,Federal,,
12,-0.2507571628958239,-0.8159754220083445,-0.08770524542944712,0.5689665769870873,0,-0.605840143811566,Federal,,
1,-0.09206543178784028,-0.8426269119522509,-0.37607064718766725,0.2296785753494569,0,-0.323761170408686,Federal,,
2,-0.09206543178784028,-0.9289008868907396,0.36373652715377625,0.5843489895696838,0,2.9448068828896203,Federal,,
3,-0.09206543178784028,-0.10787871320247013,-0.6929306525259872,1.936131483873048,0,0.4045805037155123,Federal,,
4,-0.09206543178784028,0.46076810337697033,-0.5854435780612066,1.4982474717438707,0,0.025824943902819378,Federal,,
5,-0.09206543178784028,1.0004144412327651,-0.6120059745223156,0.6076005348161082,0,0.16809431778680517,Federal,,
6,-0.09206543178784028,1.0468963846087287,-0.525545202801041,0.46289881234280883,0,1.4466055249031617,Federal,,
7,-0.09206543178784028,0.5293471244061744,-0.2853763896599353,1.8136893022353116,1,7.9768592325186605,Federal,,
8,-0.09206543178784028,0.23678257743266956,0.30014703744720594,3.7599650445519828,0,8.127924163223277,Federal,,
9,-0.09206543178784028,0.126760214081602,-0.5162912422735528,2.9584422062322977,0,1.3729116787732454,Federal,,
10,-0.09206543178784028,0.10513767377161339,-1.064825958205403,1.9434590513381556,0,-0.19252351185905048,Federal,,
11,-0.09206543178784028,-0.2444914515950834,-1.1221733845602142,1.6766784976799352,0,-0.8672222278596853,Federal,,
12,-0.09206543178784028,-0.8265522165780754,-0.722727869064849,1.3373703099060372,0,-0.6290216537371264,Federal,,
1,0.0666262993201433,-1.0508716792989685,-0.3029616317937213,1.5201246294838526,0,-0.4357430195346246,Federal,,
2,0.0666262993201433,-1.0525913380152057,1.0368721426587513,2.061976471338736,0,2.3920036520924146,Federal,,
3,0.0666262993201433,-0.25956238903642104,-0.49933016811306297,2.2035331937815568,0,0.23860784958609818,Federal,,
4,0.0666262993201433,0.16519532839163056,-0.15235814663195904,2.157152950346566,0,0.7245250946173785,Federal,,
5,0.0666262993201433,0.9336269993191755,-0.9251209770684741,0.8787003448888254,0,-0.2823425454934565,Federal,,
6,0.0666262993201433,0.7419687116143927,-0.8517894324865329,1.035781936361616,0,0.5712240053990423,Federal,,
7,0.0666262993201433,0.24072633822807527,0.23876151849165592,3.0391106207312895,0,5.975720978590944,Federal,,
8,0.0666262993201433,0.20193375452289952,0.006734019938062112,3.913849152039999,0,6.405585183544985,Federal,,
9,0.0666262993201433,0.27266250107928774,-0.48213570734309763,2.671983630193754,0,2.078742690525999,Federal,,
10,0.0666262993201433,0.1221291100002279,-1.0602668204211592,1.903423598905419,0,-0.022923311696268923,Federal,,
11,0.0666262993201433,-0.22608342698849665,-0.7824688445230537,1.637007549193515,0,-0.5533401111505702,Federal,,
12,0.0666262993201433,-0.7003010964677644,-1.0480548460160832,1.3261047156285126,0,-0.9394998402642459,Federal,,
1,0.2253180304281269,-1.0839936789268352,-0.43859595311308613,1.255125646537928,0,0.06304456005339769,Federal,,
2,0.2253180304281269,-0.9896662913313042,0.046227822429610675,1.3198971903528767,0,0.6026544556196575,Federal,,
3,0.2253180304281269,-0.3430441514359768,-0.16862992343311847,1.5195686456163704,0,0.040012127362085294,Federal,,
4,0.2253180304281269,0.31703069369148024,-0.4452881123613551,1.4209074627420175,0,0.6990328875609745,Federal,,
5,0.2253180304281269,0.9728411312367843,-0.7531763895592841,0.44367815013563217,0,-0.13689285727884723,Federal,,
6,0.2253180304281269,1.4327511363142997,-0.9086592382961445,-0.02006084207172767,0,-0.5103313290700289,Federal,,
7,0.2253180304281269,0.6529572199789603,-0.8536402266110769,1.5540534873222906,0,2.767926744454396,Federal,,
8,0.2253180304281269,0.33067353111395564,0.21059256688934266,3.446413789908683,0,4.767027609514056,Federal,,
9,0.2253180304281269,0.1684465816827653,-0.1427676767052042,2.817809432083779,0,3.361477752612715,Federal,,
10,0.2253180304281269,0.15584534032616407,-0.9247953250906877,1.575352744818271,0,-0.35218522973863364,Federal,,
11,0.2253180304281269,-0.25627363612046233,-1.012135361190079,1.1529145874142457,0,-0.7869192910114418,Federal,,
12,0.2253180304281269,-0.8389117024547862,-0.3496927814631803,1.1118300326423487,0,0.14389411342721703,Federal,,
1,0.3840097615361105,-1.0819291094701124,-0.44038703899091236,1.1831009355886866,0,-0.4860565860933167,Federal,,
2,0.3840097615361105,-0.8251835452183416,0.5577091924664791,1.9454586323221403,0,2.526918549086833,Federal,,
3,0.3840097615361105,-0.3569577788961835,-0.3049155487080566,2.7290798282530435,0,0.5754478603694017,Federal,,
4,0.3840097615361105,0.13388725493196246,-0.3675548297971312,2.195253417431373,0,0.8938022941059561,Federal,,
5,0.3840097615361105,0.8616565479610564,-0.6307310036259708,1.1171147631171843,0,-0.36642210560931543,Federal,,
6,0.3840097615361105,0.8727221011550813,-0.6453419482737566,1.4649812959217576,0,1.7040867546551255,Federal,,
7,0.3840097615361105,0.22090341935903268,0.019597298298711197,3.297218633502234,1,5.515966788170184,Federal,,
8,0.3840097615361105,0.12668487711097054,0.44864463712721975,3.9045987109087226,0,13.441161022849707,Federal,,
9,0.3840097615361105,0.1646442685117771,-0.47725634376799964,2.9152179210160445,0,2.6891891185657557,Federal,,
10,0.3840097615361105,0.043695766967374136,-0.8894620148342223,2.437110437013468,0,-0.3320598031151567,Federal,,
11,0.3840097615361105,-0.359266727665053,-0.86070688866237,1.8763776367874527,0,-0.017084453354889846,Federal,,
12,0.3840097615361105,-0.8247542884654173,-0.7062824139009317,1.8324981672626308,0,-0.9005161435084,Federal,,
1,0.5427014926440941,-0.972321521805555,-0.467090556693186,1.682973688461647,0,0.8298481606135741,Federal,,
2,0.5427014926440941,-0.7779807682858259,-0.04097409071237242,1.793835948842836,0,0.5159411976987509,Federal,,
3,0.5427014926440941,-0.5420758061190993,0.5942113639595386,2.4085580123831956,0,2.2033961045630157,Federal,,
4,0.5427014926440941,0.15248158973501402,-0.4075992464052535,2.351876495237516,0,1.593272677197463,Federal,,
5,0.5427014926440941,0.41683187086002715,-0.5571335102653447,1.6539933177425026,0,0.7118783759120084,Federal,,
6,0.5427014926440941,0.8209067278808707,-0.8893100462668092,1.0720460417928306,0,-0.13555116217061539,Federal,,
7,0.5427014926440941,0.5373032104416939,0.2579750205143749,2.1097397534814277,0,7.061773476293162,Federal,,
8,0.5427014926440941,0.1507080405114407,-0.3881197956038498,3.812675083573716,0,8.086778846570834,Federal,,
9,0.5427014926440941,0.08271740894558026,-0.6229641867938671,3.332358659516723,0,5.6568944669459365,Federal,,
10,0.5427014926440941,-0.053270456670730056,-0.6405005831500314,2.480524471910636,0,0.9171577274714724,Federal,,
11,0.5427014926440941,-0.3413756507573001,-0.9216147870727203,1.9141626233997366,0,-0.7033615012154508,Federal,,
12,0.5427014926440941,-0.8514057784093241,-0.602887704001444,1.4645741127159047,0,-0.8286609166008753,Federal,,
1,0.7013932237520777,-0.9350678420909688,-0.7523622596148177,1.5005509982653698,0,0.24658348161836507,Federal,,
2,0.7013932237520777,-0.8440011159531785,0.3338113787937072,1.856910126971062,0,1.8949304606982438,Federal,,
3,0.7013932237520777,-0.5263058437095691,0.41086893198973923,2.3570937463425428,1,2.7515034024814105,Federal,,
4,0.7013932237520777,-0.03093475513217379,-0.22151048241961288,2.62889603395737,0,2.642329174600475,Federal,,
5,0.7013932237520777,0.5222722264161024,-0.7349398434699249,1.8125836787146026,0,0.6225065739803465,Federal,,
6,0.7013932237520777,0.7485893024566307,-0.7957608976512807,1.650261766266765,0,-0.214934789407663,Federal,,
7,0.7013932237520777,0.38812850709180163,0.6015385486025842,3.532142580396565,0,7.378463214247281,Federal,,
8,0.7013932237520777,0.06695963598059214,-0.1696068793664783,3.665965705661925,0,6.18654103402329,Federal,,
9,0.7013932237520777,0.2985334509158884,-1.053357558171827,2.6746141721227863,0,1.5388097942855354,Federal,,
10,0.7013932237520777,-0.020247495098927797,-1.0177691515105416,2.358684413880423,0,2.217185748730954,Federal,,
11,0.7013932237520777,-0.5124010206117855,-0.21040572776758085,2.144074064285467,0,-0.510157405630073,Federal,,
