Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,,
8,2021,44.06529032,-0.293258065,1057.6375,0,5.941,Balochistan,,
9,2021,43.44926667,-0.283666667,1075.5625,0,9.248,Balochistan,,
10,2021,37.29383871,-0.300258065,1077.601,0,3.39,Balochistan,,
11,2021,30.9638,-0.338166667,1020.498,0,0.039,Balochistan,,
12,2021,23.78035484,-0.284096774,1015.0685,0,6.511,Balochistan,,
3,2000,24.03048387,-0.123451613,4005.3395,0,33.516,Federal,,
4,2000,36.01921429,-0.217566667,3388.615,0,25.167,Federal,,
5,2000,39.77287097,-0.237419355,2488.469,0,34.509,Federal,,
6,2000,35.71573333,-0.148566667,2671.7165,0,95.509,Federal,,
7,2000,31.88641935,-0.051064516,4731.422,0,230.653,Federal,,
8,2000,28.86047368,-0.139421053,5539.1155,0,289.216,Federal,,
9,2000,27.97066667,-0.256733333,4562.218,0,121.962,Federal,,
10,2000,31.76419355,-0.325774194,3522.5125,0,14.416,Federal,,
11,2000,23.85713333,-0.2944,3332.543,0,10.556,Federal,,
12,2000,18.25496774,-0.258419355,3100.76,0,36.647,Federal,,
1,2001,17.46135484,-0.313,2946.286,0,14.202,Federal,,
2,2001,23.97225,-0.289857143,2618.9315,0,19.161,Federal,,
3,2001,29.82835484,-0.296322581,2608.6455,0,54.099,Federal,,
4,2001,34.35833333,-0.150733333,2537.504,0,46.56,Federal,,
5,2001,39.26587097,-0.34383871,2177.557,0,29.978,Federal,,
6,2001,33.19053333,-0.224933333,3474.579,0,95.837,Federal,,
7,2001,29.76793103,-0.12037931,5309.3955,1,380.531,Federal,,
8,2001,29.1173871,-0.200580645,5070.009,0,192.3,Federal,,
9,2001,30.0352,-0.341266667,4049.3205,0,119.179,Federal,,
10,2001,29.44167742,-0.328903226,3390.592,0,17.795,Federal,,
11,2001,23.9392,-0.314366667,3363.5025,0,11.928,Federal,,
12,2001,17.04467742,-0.219129032,3274.69,0,21.261,Federal,,
1,2002,15.5006129,-0.270806452,3073.1185,0,23.669,Federal,,
2,2002,18.66210714,-0.123785714,2966.873,0,44.493,Federal,,
3,2002,25.06282609,-0.178173913,3496.019,0,36.637,Federal,,
4,2002,32.81051724,-0.169896552,2899.698,0,33.007,Federal,,
5,2002,42.28645161,-0.285064516,2198.2295,0,17.289,Federal,,
6,2002,37.56236667,-0.289866667,2651.562,0,89.577,Federal,,
7,2002,34.77609677,-0.315709677,3211.973,0,103.342,Federal,,
8,2002,27.03245161,-0.009,5037.088,0,365.353,Federal,,
9,2002,27.80846667,-0.237633333,5265.289,0,135.908,Federal,,
10,2002,28.41893548,-0.343419355,3889.234,0,38.646,Federal,,
11,2002,22.83016667,-0.3228,3608.1115,0,14.217,Federal,,
12,2002,16.0286129,-0.180774194,3437.2675,0,29.041,Federal,,
1,2003,14.73477419,-0.194903226,3329.4355,0,54.759,Federal,,
2,2003,16.577,-0.086678571,3542.4205,0,165.336,Federal,,
3,2003,21.36883871,-0.167451613,3928.16,0,75.387,Federal,,
4,2003,30.65056667,-0.224033333,3819.89,0,63.735,Federal,,
5,2003,35.92035484,-0.242548387,2983.196,0,25.689,Federal,,
6,2003,38.15153333,-0.268466667,3039.9735,0,74.186,Federal,,
7,2003,29.17358065,-0.164935484,5388.4285,0,402.593,Federal,,
8,2003,28.9226129,-0.174741935,5621.505,0,155.988,Federal,,
9,2003,27.5486,-0.191066667,4758.9975,0,173.831,Federal,,
10,2003,28.92490323,-0.411774194,3919.898,0,13.509,Federal,,
11,2003,20.7058,-0.257866667,3800.877,0,20.875,Federal,,
12,2003,14.70275,-0.126625,3875.972,0,26.159,Federal,,
1,2004,13.83567742,-0.068225806,4259.254,0,174.814,Federal,,
2,2004,18.6852069,-0.277896552,4388.2815,0,62.273,Federal,,
3,2004,26.85474194,-0.311741935,4428.1985,0,13.275,Federal,,
4,2004,30.0768,-0.089633333,3540.907,0,87.684,Federal,,
5,2004,38.47309677,-0.329032258,3057.9595,0,20.22,Federal,,
6,2004,34.8014,-0.270966667,3651.5415,0,69.091,Federal,,
7,2004,31.51032258,-0.298935484,4540.515,0,177.459,Federal,,
8,2004,28.59735484,-0.179064516,5504.051,0,284.532,Federal,,
9,2004,30.82103333,-0.3245,4147.151,0,84.601,Federal,,
10,2004,25.78070968,-0.200516129,3934.102,0,62.202,Federal,,
11,2004,22.97606667,-0.280833333,3657.978,0,24.509,Federal,,
12,2004,13.86051613,-0.119677419,4125.594,0,29.618,Federal,,
1,2005,12.31516129,-0.142741935,4215.389,0,123.009,Federal,,
2,2005,14.84225,0.002857143,4295.265,0,126.974,Federal,,
3,2005,22.03754839,-0.09716129,4721.896,0,121.33,Federal,,
4,2005,28.81263333,-0.165533333,4233.799,0,23.137,Federal,,
5,2005,35.45322581,-0.206,3398.6145,0,58.683,Federal,,
6,2005,40.73786667,-0.327266667,3206.0205,0,49.169,Federal,,
7,2005,30.99854839,-0.099387097,5007.537,0,296.555,Federal,,
8,2005,28.49529032,-0.270548387,5580.5315,0,213.772,Federal,,
9,2005,31.31586667,-0.297966667,4696.5725,0,150.829,Federal,,
10,2005,28.32445161,-0.366225806,3844.815,0,37.361,Federal,,
11,2005,23.48046667,-0.3323,3487.4515,0,19.877,Federal,,
12,2005,16.77445161,-0.29683871,3280.4095,0,32.124,Federal,,
